Sílaba|Ejemplos                                  |Observaciones
------+------------------------------------------+---------------
a     |a aún álamo                               |
ab    |ábside absoluto absorber                  |
abs   |abstracto absceso abscisa                 |
ac    |acta acto actual                          |
ad    |load admite titubead                      |
ads   |adscribir                                 |
af    |afta afgano                               |
ag    |agnóstico                                 |
ah    |ah                                        |
ahi   |ahitar ahijado                            |
ahu   |ahuyentar                                 |
ai    |aire airón airado veáisoslas              |
ain   |aindamáis aindiado                        |
ais   |aislar habíais seáis                      |
al    |al alma álgebra                           |
am    |ámbar ámbito amplio                       |
an    |ángel ánfora andan                        |
ap    |áptero ápside aptitud                     |
ar    |árbol árboles arco                        |
as    |áspid áspero asno                         |
at    |atmósfera                                 |
au    |áureo aullar aumento                      |
aun   |aun aunque                                |
aus   |austro austral austríaco                  |
ay    |ay aymará                                 |
az    |azteca                                    |
ba    |bájese básico cabaña                      |
bab   |nabab baobab                              |
bac   |bacteria                                  |
bad   |alabad derribad abad                      |
bah   |bah                                       |
bai   |bailar garambaina subscribáisela          |
bais  |habitabais hablabais recibáis             |
bal   |balde cabal bálsamo                       |
bam   |bambú bamboleo bambalina                  |
ban   |banda volaban gabán                       |
bap   |anabaptismo baptisterio                   |
bar   |barba barco bártulo                       |
bas   |basta escoba turbás                       |
bau   |bautizo bauprés bauxita                   |
bay   |ambay ñandubay                            |
be    |alabé derribé cabeza                      |
bed   |sabed                                     |
bei   |albéitar beige                            |
beis  |habéis sabéis robeislo                    |
bel   |rebelde cascabel jabélgala                |
bem   |bembo                                     |
ben   |saben deben prebéndala                    |
ber   |berlinga bermejo tubérculo                |
bes   |sabes nubes cordobés                      |
bey   |bey abey                                  |
beys  |beys                                      |
bez   |lobezno ensoberbezco embebézcala          |
bi    |bebida subirá sabían                      |
bia   |sabia soberbia rubiáceo                   |
bial  |labial adverbial proverbial               |
bian  |agobian cambian barbián                   |
biar  |cambiar agobiar entibiar                  |
bias  |sabias tibias soberbias                   |
bic   |aeróbic                                   |
bid   |subid exhibid apercibid                   |
bie   |bienes bebiera cambié                     |
biel  |bieldo                                    |
bien  |bien habiendo habiéndolo                  |
bier  |abierta cubierta gobiérnalo               |
bies  |bies agobies entibies                     |
biez  |entibiezca entibiézcala                   |
bif   |rosbif biftec                             |
big   |bignoniáceo                               |
bil   |hábil débil cabildo                       |
bin   |albín querubín terebintáceo               |
bio   |sabio oprobio recibió                     |
biom  |biombo                                    |
bion  |simbionte sabionda turbión                |
